Entry	Entry Name	Protein names	Gene Names	Organism	Length	Domain [FT]
A0A010S9Z8	A0A010S9Z8_9PEZI	ELMO/CED-12 family protein	CFIO01_03017	Colletotrichum fioriniae PJ7	715	DOMAIN 255..440; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A015IKM4	A0A015IKM4_RHIIW	ELMO domain-containing protein	RirG_204620	Rhizophagus irregularis (strain DAOM 197198w) (Glomus intraradices)	733	DOMAIN 310..459; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A016U197	A0A016U197_9BILA	Adapter molecule Crk	Acey_s0064.g3523 Acey-vav-1 Y032_0064g3523	Ancylostoma ceylanicum	175	DOMAIN 19..109; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 114..175; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A017SAZ7	A0A017SAZ7_ASPRC	ELMO domain-containing protein	EURHEDRAFT_516422	Aspergillus ruber (strain CBS 135680)	701	DOMAIN 240..422; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A022VUI8	A0A022VUI8_TRIRU	ELMO domain-containing protein	H103_06765	Trichophyton rubrum CBS 288.86	730	DOMAIN 240..435; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A022XJL3	A0A022XJL3_TRISD	ELMO domain-containing protein	H105_06781	Trichophyton soudanense CBS 452.61	730	DOMAIN 240..435; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A023F487	A0A023F487_TRIIF	Putative regulator of rac1 required for phagocytosis and cell migration		Triatoma infestans (Assassin bug)	723	DOMAIN 315..487; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A023F5A8	A0A023F5A8_TRIIF	Putative crk family adapter		Triatoma infestans (Assassin bug)	871	DOMAIN 26..88; /note="SAM"; /evidence="ECO:0000259|PROSITE:PS50105"; DOMAIN 171..270; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 567..845; /note="Ras-GEF"; /evidence="ECO:0000259|PROSITE:PS50009"
A0A023F5B5	A0A023F5B5_TRIIF	Putative crk family adapter		Triatoma infestans (Assassin bug)	264	DOMAIN 13..105; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 107..167; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 200..261; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A024FZ88	A0A024FZ88_9STRA	PH domain-containing protein	BN9_004160	Albugo candida	813	DOMAIN 200..305; /note="PH"; /evidence="ECO:0000259|PROSITE:PS50003"; DOMAIN 585..784; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A024SHH4	A0A024SHH4_HYPJR	ELMO domain-containing protein	M419DRAFT_74156	Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei)	707	DOMAIN 259..444; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A024U7M2	A0A024U7M2_9STRA	PH domain-containing protein	H310_05910	Aphanomyces invadans	724	DOMAIN 90..203; /note="PH"; /evidence="ECO:0000259|PROSITE:PS50003"; DOMAIN 490..691; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A024U881	A0A024U881_9STRA	PH domain-containing protein	H310_05910	Aphanomyces invadans	836	DOMAIN 202..315; /note="PH"; /evidence="ECO:0000259|PROSITE:PS50003"; DOMAIN 602..803; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A026VTW0	A0A026VTW0_OOCBI	Engulfment and cell motility protein	X777_16741	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	726	DOMAIN 319..490; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A026WWK6	A0A026WWK6_OOCBI	Adapter molecule Crk	X777_13549	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	270	DOMAIN 1..88; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 90..150; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 200..261; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A034VW87	A0A034VW87_BACDO	Engulfment and Cell motility protein 1	ELMO1 LOC105232469	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	728	DOMAIN 313..494; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A034WWY5	A0A034WWY5_BACDO	adapter molecule crk	CRK LOC105222899	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	318	DOMAIN 12..104; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 106..166; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 231..292; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A058Z7R1	A0A058Z7R1_FONAL	ELMO domain-containing protein	H696_03610	Fonticula alba (Slime mold)	726	DOMAIN 304..471; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A059J615	A0A059J615_TRIIM	ELMO domain-containing protein	H109_04801	Trichophyton interdigitale (strain MR816)	732	DOMAIN 240..437; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A060SMA9	A0A060SMA9_PYCCI	ELMO domain-containing protein	BN946_scf185008.g112	Pycnoporus cinnabarinus (Cinnabar-red polypore) (Trametes cinnabarina)	810	DOMAIN 390..546; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A060T8Y6	A0A060T8Y6_BLAAD	ARAD1C33440p	GNLVRS02_ARAD1C33440g	Blastobotrys adeninivorans (Yeast) (Arxula adeninivorans)	666	DOMAIN 207..376; /note="ELMO"; /evidence="ECO:0000259|Pfam:PF04727"; DOMAIN 450..610; /note="PH"; /evidence="ECO:0000259|Pfam:PF16457"
A0A060VVI3	A0A060VVI3_ONCMY	V-crk avian sarcoma virus CT10 oncogene homolog	GSONMT00078668001	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	306	DOMAIN 13..111; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 131..191; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 237..298; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A060W3M7	A0A060W3M7_ONCMY	ELMO domain-containing protein	GSONMT00065546001	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	712	DOMAIN 307..477; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
